time_s,level_rise_m,level_rise_cm
0.00,0.00000,0.000
0.15,0.00000,0.000
0.30,0.00000,0.000
0.45,0.00000,0.000
0.60,0.00000,0.000
0.75,0.00000,0.000
0.90,0.00000,0.000
1.05,0.00000,0.000
1.20,0.00000,0.000
1.35,0.00000,0.000
1.50,0.00000,0.000
1.65,0.00000,0.000
1.80,0.00000,0.000
1.95,0.00000,0.000
2.10,0.00000,0.000
2.25,0.00000,0.000
2.40,0.00000,0.000
2.55,0.00000,0.000
2.70,0.00000,0.000
2.85,0.00000,0.000
3.00,0.00000,0.000
3.15,0.00000,0.000
3.30,0.00000,0.000
3.45,0.00000,0.000
3.60,0.00001,0.001
3.75,0.00001,0.001
3.90,0.00001,0.001
4.05,0.00001,0.001
4.20,0.00001,0.001
4.35,0.00001,0.001
4.50,0.00001,0.001
4.65,0.00001,0.001
4.80,0.00001,0.001
4.95,0.00001,0.001
5.10,0.00001,0.001
5.25,0.00001,0.001
5.40,0.00001,0.001
5.55,0.00001,0.001
5.70,0.00001,0.001
5.85,0.00001,0.001
6.00,0.00001,0.001
6.15,0.00001,0.001
6.30,0.00002,0.002
6.45,0.00002,0.002
6.60,0.00002,0.002
6.75,0.00002,0.002
6.90,0.00002,0.002
7.05,0.00002,0.002
7.20,0.00002,0.002
7.35,0.00002,0.002
7.50,0.00002,0.002
7.65,0.00002,0.002
7.80,0.00002,0.002
7.95,0.00002,0.002
8.10,0.00003,0.003
8.25,0.00003,0.003
8.40,0.00003,0.003
8.55,0.00003,0.003
8.70,0.00003,0.003
8.85,0.00003,0.003
9.00,0.00003,0.003
9.15,0.00003,0.003
9.30,0.00003,0.003
9.45,0.00004,0.004
9.60,0.00004,0.004
9.75,0.00004,0.004
9.90,0.00004,0.004
10.05,0.00004,0.004
10.20,0.00004,0.004
10.35,0.00004,0.004
10.50,0.00004,0.004
10.65,0.00004,0.004
10.80,0.00005,0.005
10.95,0.00005,0.005
11.10,0.00005,0.005
11.25,0.00005,0.005
11.40,0.00005,0.005
11.55,0.00005,0.005
11.70,0.00005,0.005
11.85,0.00005,0.005
12.00,0.00006,0.006
12.15,0.00006,0.006
12.30,0.00006,0.006
12.45,0.00006,0.006
12.60,0.00006,0.006
12.75,0.00006,0.006
12.90,0.00006,0.006
13.05,0.00007,0.007
13.20,0.00007,0.007
13.35,0.00007,0.007
13.50,0.00007,0.007
13.65,0.00007,0.007
13.80,0.00007,0.007
13.95,0.00008,0.008
14.10,0.00008,0.008
14.25,0.00008,0.008
14.40,0.00008,0.008
14.55,0.00008,0.008
14.70,0.00008,0.008
14.85,0.00009,0.009
15.00,0.00009,0.009
15.15,0.00009,0.009
15.30,0.00009,0.009
15.45,0.00009,0.009
15.60,0.00009,0.009
15.75,0.00010,0.010
15.90,0.00010,0.010
16.05,0.00010,0.010
16.20,0.00010,0.010
16.35,0.00010,0.010
16.50,0.00011,0.011
16.65,0.00011,0.011
16.80,0.00011,0.011
16.95,0.00011,0.011
17.10,0.00011,0.011
17.25,0.00012,0.012
17.40,0.00012,0.012
17.55,0.00012,0.012
17.70,0.00012,0.012
17.84,0.00012,0.012
17.98,0.00013,0.013
18.12,0.00013,0.013
18.25,0.00013,0.013
18.39,0.00013,0.013
18.52,0.00013,0.013
18.65,0.00013,0.013
18.77,0.00014,0.014
18.88,0.00014,0.014
18.99,0.00014,0.014
19.09,0.00014,0.014
19.19,0.00014,0.014
19.29,0.00014,0.014
19.38,0.00015,0.015
19.47,0.00015,0.015
19.56,0.00015,0.015
19.65,0.00015,0.015
19.73,0.00015,0.015
19.81,0.00015,0.015
19.89,0.00015,0.015
19.97,0.00015,0.015
20.05,0.00015,0.015
20.12,0.00016,0.016
20.19,0.00016,0.016
20.26,0.00016,0.016
20.34,0.00016,0.016
20.40,0.00016,0.016
20.47,0.00016,0.016
20.54,0.00016,0.016
20.61,0.00016,0.016
20.68,0.00016,0.016
20.74,0.00017,0.017
20.81,0.00017,0.017
20.88,0.00017,0.017
20.95,0.00017,0.017
21.01,0.00017,0.017
21.08,0.00017,0.017
21.15,0.00017,0.017
21.22,0.00017,0.017
21.29,0.00017,0.017
21.35,0.00018,0.018
21.42,0.00018,0.018
21.49,0.00018,0.018
21.56,0.00018,0.018
21.62,0.00018,0.018
21.69,0.00018,0.018
21.76,0.00018,0.018
21.83,0.00018,0.018
21.89,0.00018,0.018
21.96,0.00019,0.019
22.03,0.00019,0.019
22.10,0.00019,0.019
22.17,0.00019,0.019
22.23,0.00019,0.019
22.30,0.00019,0.019
22.37,0.00019,0.019
22.44,0.00019,0.019
22.50,0.00020,0.020
22.57,0.00020,0.020
22.64,0.00020,0.020
22.71,0.00020,0.020
22.78,0.00020,0.020
22.84,0.00020,0.020
22.91,0.00020,0.020
22.98,0.00020,0.020
23.05,0.00020,0.020
23.11,0.00021,0.021
23.18,0.00021,0.021
23.25,0.00021,0.021
23.32,0.00021,0.021
23.38,0.00021,0.021
23.45,0.00021,0.021
23.52,0.00021,0.021
23.59,0.00021,0.021
23.66,0.00022,0.022
23.72,0.00022,0.022
23.79,0.00022,0.022
23.86,0.00022,0.022
23.93,0.00022,0.022
23.99,0.00022,0.022
24.06,0.00022,0.022
24.13,0.00022,0.022
24.20,0.00023,0.023
24.27,0.00023,0.023
24.33,0.00023,0.023
24.40,0.00023,0.023
24.47,0.00023,0.023
24.54,0.00023,0.023
24.60,0.00023,0.023
24.67,0.00023,0.023
24.74,0.00024,0.024
24.81,0.00024,0.024
24.87,0.00024,0.024
24.94,0.00024,0.024
25.01,0.00024,0.024
25.08,0.00024,0.024
25.15,0.00024,0.024
25.21,0.00024,0.024
25.28,0.00025,0.025
25.35,0.00025,0.025
25.42,0.00025,0.025
25.48,0.00025,0.025
25.55,0.00025,0.025
25.62,0.00025,0.025
25.69,0.00025,0.025
25.76,0.00026,0.026
25.82,0.00026,0.026
25.89,0.00026,0.026
25.96,0.00026,0.026
26.03,0.00026,0.026
26.09,0.00026,0.026
26.16,0.00026,0.026
